"database","scopus_id","openalex_id","title","journal","publication_year","doi","citations","abstract","authors","query_category"
"OpenAlex",NA,"https://openalex.org/W4395070594","The political economy of fiscal transfers: The case of Ethiopia","Public Administration and Development",2024,"https://doi.org/10.1002/pad.2053",5,"Abstract This article examines the political economy of fiscal transfers in Ethiopia. Utilising an original data set spanning 1995–2020, as well as interviews and document analyses, the article illustrates how different factors interact to shape the distribution of grants. Statistical analysis indicates that population size is critical in determining regional grant shares. However, the analyses reveal a pattern of ethno‐regional favouritism in grant distributions during the early stages of Ethiopian federalism. During that period, opaque and centralised decision‐making processes, coupled with the dominant influence of the Tigray People's Liberation Front in the federal government, resulted in grant distribution deviating from principles of fiscal equity. Over time, this evolved into more fluid forms of negotiation influenced by intra‐party competition, dynamics of bargaining between the central and regional authorities, and regional assertiveness, collectively shaping the allocation of grants alongside the grant formula. The analysis highlights how economically and politically marginalised regions are disadvantaged, especially when their population is small. The absence of an independent grant agency means that political considerations continue to affect seemingly formula‐driven allocations. The Ethiopian case underscores how intra‐party bargaining and alignment along ethnic and regional lines undermine the effectiveness of formula‐based grant allocations in the absence of an independent and empowered grant agency.","Bizuneh Yimenu","political_party"
"OpenAlex",NA,"https://openalex.org/W4410195237","Co‐Creating and Refining a Values Assessment Tool (VAsT) for Women With Metastatic Breast Cancer","Psycho-Oncology",2025,"https://doi.org/10.1002/pon.70173",3,"BACKGROUND AND AIMS: Patients with metastatic breast cancer (mBC) and their families often have differing perspectives on treatment goals. This highlights the need for systematically eliciting patients' and care partners' values to ensure values-aligned treatment decisions. This study aimed to inform the development of a values assessment tool to facilitate communication of priorities and preferences with oncology clinicians. METHODS: Two rounds of semi-structured interviews were conducted with women with mBC from the Southeastern and Northeastern U.S. Recruitment included at least 50% of participants identifying as African American/Black, Latinx, Asian, American Indian, or Native American. RESULTS: The initial round of 13 interviews yielded eight candidate domains. After confirmatory interviews with additional participants, the researchers identified nine final domains relevant to treatment decisions for mBC: desire not to appear sick; desire to help other women with breast cancer by participating in clinical research; financial concerns; living to care for a loved one; maintaining sexuality; maintaining quality of life; maximizing time away from medical appointments; minimizing and managing side effects; and slowing disease progression with an effective treatment. CONCLUSION: Eliciting treatment decision values across multiple domains and effectively communicating them with clinicians is a crucial aspect of patient-centered care to align values with care goals. To help patients identify and express their values to clinicians, we are developing a values assessment tool specifically for mBC. Future research will pilot this tool to assess its impact on communication between clinicians and patients and health outcomes for women with mBC.","Lorinda A. Coombs; Victoria Crowder; Madison Black; Kelly Tan; Emily M. Ray; Renée M. Ferrari; Erin E. Kent; Daniel S. Reuland; Ashley Leak Bryant","political_party"
"OpenAlex",NA,"https://openalex.org/W4407929918","Is the Implementation of Cocoa Companies' Forest Policies on Track to Effectively and Equitably Address Deforestation in West Africa?","Sustainable Development",2025,"https://doi.org/10.1002/sd.3380",6,"ABSTRACT Tropical forests play a crucial role in achieving the sustainable development goals by contributing to climate stability, conserving biodiversity and sustaining livelihoods. However, forests are disappearing due to agricultural expansion. In West Africa, cocoa production is a major driver of deforestation. This study examines the design and implementation of forest‐focused supply chain policies (FSPs) in cocoa supply chains in Côte d'Ivoire and Ghana, the world's two leading cocoa producers. FSPs are voluntary policies of companies to combat deforestation, restore forests, and improve farmers' livelihoods. Drawing on 91 stakeholder interviews, we developed a conceptual framework to examine FSPs' theory of change, implementation and potential effectiveness and equity. Our findings reveal shortcomings in FSPs' design and implementation. FSPs are mostly narrowly focused on preventing illegal deforestation and only target farmers in companies' ‘direct’ supply chains, neglecting important landscape‐scale approaches and processes. Companies also fail to include smallholder farmers sufficiently in policy design and implementation. Lastly, FSPs prioritise productivity enhancement but overlook the importance of addressing farmers' social norms and values. We provide recommendations on how to address the shortcomings to achieve sustainable cocoa production.","Thomas Addoah; Joss Lyons‐White; Federico Cammelli; K Kouakou; Sophia Carodenuto; William J. Thompson; Cécile Renier; Rachael Garrett","political_party"
"OpenAlex",NA,"https://openalex.org/W4415097516","Existing Sustainability Interventions are Insufficient to Scale Up Cocoa Agroforestry in West Africa","Sustainable Development",2025,"https://doi.org/10.1002/sd.70266",1,"ABSTRACT Sustainability transitions in agri‐food systems are required to address climate change, biodiversity loss, and social inequities. In the West African cocoa sector, supply chain sustainability initiatives (SSIs) have emerged as key environmental governance tools to address these challenges and promote agroforestry. Agroforestry is a climate adaptation strategy that supports both nature and the livelihoods of smallholder farmers, yet its adoption remains limited. This study combines the Multi‐Level Perspective (MLP) and the Creative Destruction (CD) frameworks to qualitatively assess how the interventions of SSIs influence the scaling up of agroforestry adoption in Côte d'Ivoire and Ghana. Through policy mapping, 101 semi‐structured interviews and focus groups with governments, private companies, non‐governmental organizations (NGOs), and cocoa farmers, we found that most interventions (~93%) support agroforestry as a niche innovation, relying on extension services and short‐term incentives. Only 7% of the interventions pursue regime‐level changes, such as land and tree tenure reforms, which remain limited due to institutional and informal barriers. Additionally, SSIs have not significantly changed policy network structures, and smallholder farmers remain excluded from governance processes. Based on these findings, we recommend that scaling up agroforestry adoption requires regime‐destabilization interventions, including the integration and strengthening of land and tree tenure reforms, as well as the simplification of tree registration procedures. Furthermore, greater efforts are needed to ensure the inclusion of smallholders within policy networks, as their participation remains limited.","Keessy Maria‐Prisca Kouakou; Joss Lyons‐White; William J. Thompson; Thomas Addoah; Federico Cammelli; Wilma J. Blaser‐Hart; Victoria A. Maguire‐Rajpaul; Evans Dawoe; Rachael Garrett","political_party"
"OpenAlex",NA,"https://openalex.org/W4407231389","Intersectoral Collaboration Between Traditional Bonesetters and Formal Healthcare: A Systematic Review on Past Initiatives and Stakeholder Perspectives","World Journal of Surgery",2025,"https://doi.org/10.1002/wjs.12503",6,"BACKGROUND: Bone fractures in low- and middle-income countries are commonly managed by traditional bonesetters (TBSs). Past studies emphasize the potential for improved fracture care through intersectoral cooperation. This review gauged support among stakeholders for intersectoral collaboration and the results of previous initiatives. METHODS: Five medical databases were reviewed. Studies focusing on stakeholder perspectives and articles detailing collaborative initiatives were included. Data extraction and synthesis were carried out using the Cochrane Consumers and Communication Review Group's template. Additionally, all studies underwent quality assessment. RESULTS: Of the 3821 identified articles, 16 were included after full-text screening. Twelve articles presented stakeholder perspectives, whereas four discussed collaborative initiatives. The overall article quality was low: articles on stakeholder perspectives scored on average 1.42 out of 4 points, whereas articles on collaborative initiatives scored a mean 1.25 points. In total, 62% of stakeholders (75% of TBSs, 92% of hospital staff, and 52% of patients) expressed support for intersectoral collaboration. The ratio between stakeholders expressing support versus those opposing was 4.4:1. No articles presented data on governmental perspectives. The most mentioned collaborative forms were TBS training (24% of stakeholders) and an integrative model (16% of stakeholders). Interventional studies all consisted of TBS training, reporting improved clinical outcomes and increased practice integration. CONCLUSION: Despite the limited and low-quality evidence on collaboration initiatives and perspectives, most stakeholders seem supportive of intersectoral collaboration, with training and integration being commonly suggested. Future research efforts exploring the feasibility of embedding TBSs into current primary care systems should ensure the involvement of local and national government.","Joost J. Binnerts; Thom C C Hendriks; Samia Hussein; Nefti Bempong‐Ahun; Geoffrey Ibbotson; William J. Harrison; Claude Martin; Kavitha Ranganathan; Anam N. Ehsan; Bwire Chirangi; Michael J. Edwards; Erik Hermans","political_party"
"OpenAlex",NA,"https://openalex.org/W4240851114","Pluralistic Struggles in Gender, Sexuality and Coloniality","",2020,"https://doi.org/10.1007/978-3-030-47432-4",29,"This open access book seeks to understand how politics is being made in a pluralistic sense, and explores how these political struggles are challenging and transforming gender, sexuality, and colonial norms. As researchers located in Sweden, a nation often cited as one of the most gender-equal and LGBTQ-tolerant nations, the contributions investigate political processes, decolonial struggles, and events beyond, nearby, and in between organizations, states, and national territories. The collection represents a variety of disciplines, and different theoretical conceptualizations of politics, feminist theory, and postcolonial and queer studies. Students and researchers with an interest of queer studies, gender studies, critical whiteness studies, and civil society studies will find this book an invaluable resource.","Erika Alm; Linda Berg; Mikela Lundahl Hero; Anna Johansson; Pia Laskar; Lena Martinsson; Diana Mulinari; Cathrin Wasshede","political_party"
"OpenAlex",NA,"https://openalex.org/W3099536939","Diaspora Policies, Consular Services and Social Protection for Senegalese Citizens Abroad","IMISCOE research series",2020,"https://doi.org/10.1007/978-3-030-51237-8_17",6,"Abstract This chapter presents the main areas of engagement of the state of Senegal with its diaspora. In the first part, it looks at the main institutions and policies geared towards the diaspora. In the second part, the chapter focuses specifically on diaspora policies in the area of social protection (unemployment, health care, family benefits, pensions, guaranteed minimum resources). If Senegal falls in the category of pioneer countries for some aspects of emigration policies (ministerial institutions, external voting, political representation), its policy for the diaspora in the field of social protection is rather scanty. As a developing country facing many structural economic issues, scaling up social protection in the homeland remains the top priority for the Government, relegating social protection for the diaspora as a secondary policy concern for now. Recent governmental policies towards the diaspora have focused primarily on tapping the resources of the diaspora in order to increase its contribution to economic development and facilitate productive investment by Senegalese abroad in their home country.","Étienne Smith","political_party"
"OpenAlex",NA,"https://openalex.org/W4285263182","Human Resource Management in Jordan: Challenges and Future Prospects","",2022,"https://doi.org/10.1007/978-3-030-98309-3_7",34,"This chapter focuses on human resource management (HRM) in Jordan, a relatively secular Middle Eastern country with high political stability. Given that Jordan suffers limited natural resources, the onus is falling on the development of its human resources which represent the country’s largest asset. However, the potential of HRM is not yet recognised in Jordan. Although HRM literature in the Middle East in general and Jordan in particular is rather scarce, we present the main aspects of the country’s socio-economic status and discuss the role of HRM in the current economic reforms. We also discuss the key factors that determine HRM policies and practices in the context of Jordan and explore the potential impact of the national unique institutional and cultural setting on HRM practice and the implications of the latter for theory and practice. The chapter also presents the key challenges and future developments in HRM in Jordan and concludes with a number of important areas for future research.","Tamara Mohammad; Tamer K. Darwish","political_party"
"OpenAlex",NA,"https://openalex.org/W4310849187","The Belt and Road Initiative and Autocracy Promotion as Elements of China’s Grand Strategy","",2022,"https://doi.org/10.1007/978-3-031-16659-4_25",12,"Abstract This chapter analyses the role of autocracy promotion in China’s grand strategy and the role of the Belt and Road Initiative (BRI) in this context. Both the BRI and autocracy promotion can be considered tools Beijing uses to undermine the liberal international order. China does not engage in obvious activities to export its political system. Rather, its efforts are aimed at preventing the spread of Western democracy in its immediate vicinity, with the aims of guaranteeing the rule of the Chinese Communist Party, and ultimately, undermining the liberal values at the heart of the current international order. The BRI has a dual role in realising China’s grand strategy: it expands Beijing’s power projection and strengthens autocracy in its sphere of influence.","Henoch Gabriel Mandelbaum; Brigitte Weiffen","political_party"
"OpenAlex",NA,"https://openalex.org/W4328021818","Party Affiliation and Law-making Efficiency: A Study of the Seventh and Eighth Nigerian National Assemblies","Advances in African economic, social and political development",2023,"https://doi.org/10.1007/978-3-031-24695-1_11",2,"","Oluwabukola Oluwadamilare Olaniyi","political_party"
"Scopus","SCOPUS_ID:85195624087",NA,"Center-regional political risk sharing in the covid-19 public health crisis: Nigeria and South Africa","Government Responses to the Covid 19 Pandemic Between A Rock and A Hard Place",2023,"10.1007/978-3-031-30844-4_5",3,"","Bayrali O.G.","political_party"
"OpenAlex",NA,"https://openalex.org/W4387055096","Authoritarian Clientelism: The Case of the President’s ‘Creatures’ in Cameroon","",2023,"https://doi.org/10.1007/978-3-031-37295-7_4",0,"Abstract Within this article, we aim at exploring the topic of clientelism in Cameroon as a species of a wider phenomenon affecting Central and Western Francophone Africa. Our argument is that, in spite of the repeated efforts of reinforcing the local power structures, we have witnessed a process of centralisation of clientelism: the new networks are shaped around the ‘Creatures’, who are the President Paul Biya’s formal or informal appointees and play the role of nodal elements relying the rest of the chain to the central command. This happened on the expenses of the locally dispersed and more autonomous clientelistic groups that were either included in or smashed by the pyramidal Creatures’ structured. In order to test our assumption, we analysed a specific body of literature on the theorization of clientelism and on its African and Cameroonian specificity and organized four focus groups with the actual and former members of the clientelistic chains at different levels (central, regional and local). If our main presupposition proved to be generally correct, one of the sub-arguments was only partially validated through this empirical component of our research.","Sergiu Mișcoiu; Louis‐Marie Kakdeu","political_party"
"OpenAlex",NA,"https://openalex.org/W4387846939","Migrations in the Mediterranean","IMISCOE research series",2023,"https://doi.org/10.1007/978-3-031-42264-5",8,"This open access book provides a regional understanding of Mediterranean migrations from multiple disciplines and geographical angles. Free2Read","Ricard Zapata-Barrero; Ibrahim Awad","political_party"
"OpenAlex",NA,"https://openalex.org/W4387846956","Hindering Democracy Through Migration Policies? An Analysis of EU External Migration Policies’ Impacts on the Democratisation of Morocco","IMISCOE research series",2023,"https://doi.org/10.1007/978-3-031-42264-5_3",1,"Abstract What are the impacts of the European Union’s (EU) external migration policies on the democratisation of Southern Mediterranean Countries (SMCs)? Even though democracy promotion is an important element of the EU’s external migration policies, there is little academic knowledge about their effects on SMCs’ democratisation. This chapter attempts to start uncovering their impact on this policy field by focusing on EU policy practices. The analysis is done in two stages: (1) by suggesting an innovative theoretical framework, and (2) by applying it to the case of Morocco, a paradigmatic case among SMCs. Focusing on the years between 2015 and 2020, the case study draws on a content analysis of a broad range of qualitative data, including policy documents, literature, reports, and press releases. The research finds that EU external migration policies are likely to have had a negative impact on Morocco’s democratisation trajectory, affecting the EU’s capacity and willingness to exert leverage in this country and working as a tool for Morocco’s autocratic resilience. This outcome would contradict the EU’s own narratives, confirming the existence of a wide and deep gap between EU discourses and actions in this field, further contributing to the “process of disillusionment” of the Barcelona Process.","Luisa Faustini Torres","political_party"
"OpenAlex",NA,"https://openalex.org/W4392963050","Party System Changes and Challenges to Democracy","",2024,"https://doi.org/10.1007/978-3-031-54949-6",8,"This open access book focuses on the nexus between party system stability and democratic consolidation using Slovenia as a case study","Danica Fink‐Hafner","political_party"
"OpenAlex",NA,"https://openalex.org/W4406195057","A Conceptualisation of Political Parties","",2024,"https://doi.org/10.1007/978-3-031-77110-1_2",0,"","Babayo Sule","political_party"
"OpenAlex",NA,"https://openalex.org/W4406226010","Nigerian Political Parties and Ideology","",2024,"https://doi.org/10.1007/978-3-031-77110-1_6",1,"","Babayo Sule","political_party"
"OpenAlex",NA,"https://openalex.org/W4406225989","Party Politics and Internal Crises","",2024,"https://doi.org/10.1007/978-3-031-77110-1_7",0,"","Babayo Sule","political_party"
"OpenAlex",NA,"https://openalex.org/W4406225982","Nigerian Parties and Party Switching in the Fourth Republic","",2024,"https://doi.org/10.1007/978-3-031-77110-1_9",0,"This chapter discusses some critical issues related to party politics and party switching, constitutional views on party switching, the manifestations of party switching and the impact of party switching on the democratisation of the Fourth Republic. Interestingly, the chapter informs that party defections have become an acceptable norm in Nigeria’s Fourth Republic. This has been favoured by a lapse in the Nigerian Constitution made possible by an uninformed electorate perpetrated by self-serving and ambitious unprincipled politicians as a result of lack of sound ideology and principled politics. The common cases reported in this study make the Nigerian case a special and interesting one for all readers.","Babayo Sule","political_party"
"OpenAlex",NA,"https://openalex.org/W3015071488","Sustainable Human–Nature Relations","Advances in 21st century human settlements",2020,"https://doi.org/10.1007/978-981-15-3049-4",55,"","Russo, Alessio; Cirella, Giuseppe T","political_party"
"OpenAlex; Scopus","SCOPUS_ID:85158939615","https://openalex.org/W4210472184","Democratic Decay or Democratic Autocracy? Party Primaries and the Challenges of Democratic Consolidation in Nigeria 1999-2019","Anonymous Power Parties Interest Groups and Politics of Decision Making in Nigerias Fourth Republic Essays in Honour of Elochukwu Amucheazi",2022,"10.1007/978-981-16-6058-0_14",3,"","Nkolika Obianyo; Ikenna Mike Alumona","political_party"
"Scopus","SCOPUS_ID:85158963533",NA,"Intra-party Chicanery and Electoral Outcomes in Nigeria’s Presidential Elections","Anonymous Power Parties Interest Groups and Politics of Decision Making in Nigerias Fourth Republic Essays in Honour of Elochukwu Amucheazi",2022,"10.1007/978-981-16-6058-0_9",1,"","Ngwu E.C.","political_party"
"Scopus","SCOPUS_ID:105045429070",NA,"Egypt’s Electoral Politics Post-2011: Legitimacy and Authoritarian Control","Comparative Electoral Politics and the Quest for Representation in West Asia and North Africa",2026,"10.1007/978-981-95-3704-4_3",0,"","Ashwarya S.","political_party"
"OpenAlex",NA,"https://openalex.org/W4311876102","Contemporary narratives about asymmetries in responsibility in global agri-food value chains: the case of the Ecuadorian stakeholders in the banana value chain","Agriculture and Human Values",2022,"https://doi.org/10.1007/s10460-022-10405-3",11,"Global concerns over environmental and social issues in agrifood value chains have increased and are reflected in a number of voluntary sustainability standards and regulatory initiatives. However, these initiatives are often based on poor knowledge of production realities, creating a disconnect between producing and consuming countries. Through narrative analysis, this paper reveals asymmetries in the responsibilities of the various actors participating in Ecuadorian banana value chains, providing clear problem- and solution-framings. Despite the broad range of actors interviewed, our analysis reveals convergence in two main narratives that reflect asymmetries amongst local actors in terms of their ability to participate, ability to maintain participation, and adaptation strategies in view of changing external factors. One narrative relates to sustainability adaptations, the cost of which is not shared among all value chain actors. This is combined with a downward trend in the price of bananas and the lack of a differentiated price to account for losses and costs arising from increasing sustainability standards. Another narrative reflects a value chain structure that threatens small-farm survival. It highlights the urgency of protecting small-farm activity by enforcing national regulation and developing new market segments/models that understand small-scale producer reality. Study results show that the multitude of standards is not seen as beneficial and that downstream actors rather wish for common minimum standards to reduce business costs. Compatibility between standards and local realities should be a priority for global sustainability standards adoption. Building on the problems and solution-framings of local value chain links, we give voice to local actors, and link their perceptions to existing literature and discursive politics while contributing to social transparency and addressing the democratic deficit in agrifood value chains.","Claudia Coral; Dagmar Mithöfer","political_party"
"OpenAlex",NA,"https://openalex.org/W3197098089","Corporate Social Innovation in Developing Countries","Journal of Business Ethics",2021,"https://doi.org/10.1007/s10551-021-04933-x",48,"Abstract Although corporate social innovation studies in developing countries acknowledge the importance of firm resources and capabilities for attaining social goals, they overlook the way in which these interact with broader institutions to generate successful outcomes. We address this gap by exploring the relationship between firm resources-capabilities and institutions that is conducive to meeting both business and social interests in developing countries. By employing a fuzzy-set qualitative comparative analysis of corporate social innovation projects performed by joint ventures of Dutch SMEs and their local partners in developing countries, we show that firm resources and/or capabilities complement strong institutions in these countries. Corporate social innovation can also be facilitated by firm capabilities in running highly legitimate projects that substitute institutional voids in these economies, attesting to multiple paths that corporations can take to achieve social innovation.","Ayse Saka‐Helmhout; Maryse M.H. Chappin; Suzana B. Rodrigues","political_party"
"OpenAlex",NA,"https://openalex.org/W4317787002","A bibliometric and content analysis of technological advancement applications in agricultural e-commerce","Electronic Commerce Research",2023,"https://doi.org/10.1007/s10660-023-09670-z",64,"","Hamza Altarturi; Adibi M. Nor; Noor Ismawati Jaafar; Nor Badrul Anuar","political_party"
