"from","to"
"W2618152713","W1498339752"
"W2787122260","W1498339752"
"W2787122260","W2123295839"
"W3135817741","W1498339752"
"W2150022889","W1498339752"
"W2491588292","W1498339752"
"W2738997865","W1498339752"
"W38904342","W1498339752"
"W1985994470","W1498339752"
"W2143072837","W2123295839"
"W2242134637","W1498339752"
"W2340850273","W1498339752"
"W2647837315","W1989435151"
"W2740973616","W1498339752"
"W2758356112","W1498339752"
"W2916909954","W2123295839"
"W2982212970","W1989435151"
"W2154195314","W1498339752"
"W2564205460","W1498339752"
"W2792367000","W1498339752"
"W2955091974","W1498339752"
"W4210976918","W1498339752"
"W1999041560","W1498339752"
"W2157964438","W2123295839"
"W2952261043","W2123295839"
"W2964853525","W1498339752"
"W2883799267","W2123295839"
"W2889004161","W1498339752"
"W3008036423","W2123295839"
"W3128323057","W1989435151"
"W1966272755","W2123295839"
"W2140029853","W2123295839"
"W2327481364","W1498339752"
"W2461654425","W1498339752"
"W2954036270","W2884459365"
"W4223568448","W1989435151"
"W4223568448","W2919820997"
"W2140407664","W1498339752"
"W2991692509","W2123295839"
"W3107857758","W1498339752"
"W1585225012","W1989435151"
"W1978295711","W1498339752"
"W2027243619","W1498339752"
"W2075453022","W1498339752"
"W2131017513","W2123295839"
"W2476685034","W1498339752"
"W2892527597","W2123295839"
"W3124715855","W1498339752"
"W3169989895","W1989435151"
"W2058361584","W1498339752"
"W4200100287","W2123295839"
"W129051264","W2123295839"
"W1481952171","W2123295839"
"W2415971765","W2123295839"
"W3101934104","W2919820997"
"W3209813241","W2884459365"
"W4211019532","W1498339752"
"W2431440494","W1498339752"
"W2744576735","W1498339752"
"W2910672609","W2123295839"
"W4200331530","W2884459365"
"W2232285999","W1498339752"
"W2741529895","W2123295839"
"W2772437357","W1498339752"
"W2897738685","W1498339752"
"W3151024757","W1498339752"
"W3208589255","W1989435151"
"W4393062024","W1989435151"
"W2944315187","W1498339752"
"W2996913205","W2884459365"
"W3141234869","W2919820997"
"W3154722533","W2884459365"
"W68407739","W1498339752"
"W1537548765","W1498339752"
"W2545044058","W1498339752"
"W2592788498","W2123295839"
"W2743326384","W1498339752"
"W2977839676","W1498339752"
"W2983267386","W1498339752"
"W2167510804","W1498339752"
"W2894823999","W1498339752"
"W3135155422","W2123295839"
"W3159496134","W2123295839"
"W3200893370","W2123295839"
"W4386823231","W2123295839"
"W94427023","W1498339752"
"W2755064113","W1498339752"
"W3010793706","W2123295839"
"W3045755055","W1498339752"
"W3045755055","W2884459365"
"W4213261070","W1498339752"
"W2478129369","W1498339752"
"W2485264129","W1498339752"
"W847971368","W2123295839"
"W1971897675","W1498339752"
"W2107366001","W1989435151"
"W2547666904","W2123295839"
"W2778050906","W2123295839"
"W2918002671","W1498339752"
"W3113844757","W2919820997"
"W4211253557","W1498339752"
"W4282582090","W2919820997"
"W4289812278","W2123295839"
"W1967996603","W2123295839"
"W2793565747","W2123295839"
"W4211030124","W1989435151"
"W4384153884","W1989435151"
"W1136000081","W1498339752"
"W2027321346","W1498339752"
"W2160349412","W1498339752"
"W2488920462","W1498339752"
"W2884535399","W1498339752"
"W2947264546","W1498339752"
"W4296626306","W1498339752"
"W4384695853","W1498339752"
"W4390412321","W1989435151"
"W1604863380","W1498339752"
"W2106095116","W1498339752"
"W2496744023","W1989435151"
"W2582205772","W1498339752"
"W2800247053","W1989435151"
"W2902789388","W2123295839"
"W3098765457","W2884459365"
"W4372294821","W2884459365"
"W4386448698","W2123295839"
"W4386448698","W2919820997"
"W2039835207","W2123295839"
"W2481362451","W1498339752"
"W3171537980","W1498339752"
"W4238590490","W1498339752"
"W4397002403","W2884459365"
"W3097293551","W2884459365"
"W3165636359","W1989435151"
"W2067018025","W1498339752"
"W2337918744","W1498339752"
"W2805682225","W2123295839"
"W2909016299","W1989435151"
"W2932242714","W2123295839"
"W2959969974","W1498339752"
"W4313288112","W2919820997"
"W2501579863","W1498339752"
"W2901036267","W1498339752"
"W3006550788","W1498339752"
"W2345652134","W2123295839"
"W2498518890","W1498339752"
"W2955921539","W2123295839"
"W3112238859","W1498339752"
"W4250529100","W1498339752"
"W4388229645","W2123295839"
"W608041120","W2123295839"
"W3083870383","W1498339752"
"W4293766927","W2919820997"
"W4361275997","W1498339752"
"W2745487382","W1498339752"
"W3207922332","W1498339752"
"W2327753086","W1498339752"
"W2780524590","W1498339752"
"W3029927327","W1498339752"
"W4206815009","W1989435151"
"W4392749162","W2123295839"
"W3000513577","W1498339752"
"W3135978236","W2919820997"
"W3199332379","W2884459365"
"W4366548492","W2884459365"
"W4403742550","W2884459365"
"W2990655773","W2884459365"
"W2611065955","W2884459365"
"W4224292151","W1498339752"
"W4224292151","W2919820997"
"W4389044138","W1498339752"
"W4404043574","W2884459365"
"W4309271443","W2884459365"
"W4398501949","W1498339752"
"W4401133563","W1498339752"
"W4403825649","W1498339752"
"W2904438495","W1498339752"
"W4383876604","W1498339752"
"W4400944786","W2884459365"
"W4408768655","W2884459365"
"W4213001677","W1989435151"
"W4401725883","W2884459365"
"W4410412249","W2123295839"
"W4407115772","W2919820997"
"W4393325584","W2884459365"
"W4406400437","W1498339752"
"W2192791544","W2123295839"
"W1521560361","W1498339752"
"W2145483647","W1498339752"
"W2145029128","W2123295839"
"W4255747906","W1498339752"
"W1974939442","W1498339752"
"W2129503279","W2123295839"
"W2118618486","W1498339752"
"W2063586003","W1498339752"
"W2109897492","W2123295839"
"W2157333612","W1498339752"
"W2128993037","W1498339752"
"W2072368227","W1498339752"
"W2090391966","W1498339752"
"W2096449620","W1498339752"
"W1987458214","W1498339752"
"W2132167206","W1498339752"
"W1995840584","W1498339752"
"W2323342040","W1498339752"
"W2086062722","W1498339752"
"W2152967365","W2123295839"
"W1911369886","W1498339752"
"W2108600789","W1498339752"
"W2110598543","W1498339752"
"W2120060460","W1498339752"
"W2137579855","W1498339752"
"W2137579855","W2123295839"
"W2000040807","W1498339752"
"W2161098097","W1498339752"
"W2146024673","W2123295839"
"W2102454757","W2123295839"
"W1978694644","W1498339752"
"W2047134275","W2123295839"
"W2156045482","W2123295839"
"W2030874192","W1498339752"
"W49050011","W1498339752"
"W49050011","W2123295839"
"W2012569263","W1498339752"
"W2031005610","W1498339752"
"W2077415357","W1989435151"
"W2148893147","W2123295839"
"W1488628681","W2123295839"
"W2066029124","W1498339752"
"W2118635449","W1498339752"
"W2736125731","W2123295839"
"W4246518695","W1498339752"
"W4246518695","W2123295839"
"W2040472672","W1498339752"
"W2057181742","W2123295839"
"W2059305416","W1498339752"
"W2100899724","W1498339752"
"W2142933880","W1498339752"
"W3121350308","W2123295839"
"W4230320783","W1989435151"
"W2034576535","W2123295839"
"W2053377201","W1498339752"
"W2734542517","W1498339752"
"W2734542517","W2123295839"
"W1694627387","W2123295839"
"W2170723177","W2123295839"
"W2921683802","W1498339752"
"W2214548696","W1498339752"
"W2563738759","W2123295839"
"W4232013811","W1498339752"
"W640079906","W1498339752"
"W1920015396","W1498339752"
"W2922882940","W2123295839"
"W1995578715","W2123295839"
"W2020296808","W1498339752"
"W2000892417","W2123295839"
"W2110002585","W2123295839"
"W2124445652","W1989435151"
"W2149621952","W1498339752"
"W2035111947","W1498339752"
"W2136397601","W1498339752"
"W2240123399","W1498339752"
"W2743368977","W2123295839"
"W2060303363","W1498339752"
"W2099799656","W1498339752"
"W2104681199","W2123295839"
"W2791377015","W2123295839"
"W560055955","W2123295839"
"W2471520761","W1498339752"
"W3121294067","W1498339752"
"W1969543809","W2123295839"
"W2036325915","W1498339752"
"W2564591954","W2123295839"
"W1491383755","W1498339752"
"W1520837518","W1498339752"
"W2336439626","W2123295839"
"W2539284606","W1498339752"
"W1995881913","W1498339752"
"W2020396129","W2123295839"
"W2034914133","W1498339752"
"W2144249844","W1498339752"
"W2461707717","W1498339752"
"W2896376654","W2123295839"
"W2900759500","W1498339752"
"W4211219615","W1989435151"
"W2157304477","W1498339752"
"W2266817373","W1498339752"
"W2914953497","W2123295839"
"W1606850811","W1498339752"
"W2074276773","W2123295839"
"W2139882348","W1498339752"
"W2236283454","W1498339752"
"W2800899610","W1498339752"
"W2899331565","W1498339752"
"W2907638939","W1498339752"
"W2039181797","W1498339752"
"W2043079067","W1498339752"
"W2109592058","W1498339752"
"W2113161822","W2123295839"
"W2157766236","W1498339752"
"W2480738082","W1498339752"
"W2783693943","W2123295839"
"W2887333403","W1498339752"
"W3014357256","W1498339752"
"W2022291642","W2123295839"
"W2223222733","W1498339752"
"W2951175635","W2123295839"
"W3126272886","W1498339752"
"W2142543828","W1498339752"
"W2626831622","W1498339752"
"W2783890970","W2123295839"
"W302159806","W1498339752"
"W1978461953","W1498339752"
"W2020235966","W2123295839"
"W2154540361","W2123295839"
"W2248913600","W1498339752"
"W2578395908","W1498339752"
"W2779239815","W1498339752"
"W2967823100","W2123295839"
"W2011055465","W2123295839"
"W2047220864","W1498339752"
"W2339578752","W1989435151"
"W2909508774","W2123295839"
"W1829200253","W1498339752"
"W1971355334","W1498339752"
"W2557664198","W1989435151"
"W2557664198","W2123295839"
"W2678839514","W2123295839"
"W1825728741","W2123295839"
"W2040574443","W1498339752"
"W2583783407","W1498339752"
"W2751685408","W1498339752"
"W2943021674","W1498339752"
"W2990986241","W1498339752"
"W3029743170","W1498339752"
"W2168398830","W1498339752"
"W2896583110","W2123295839"
"W3217103878","W1498339752"
"W4290960486","W1498339752"
"W4290960486","W2123295839"
"W113997742","W1498339752"
"W1960186828","W1498339752"
"W2553739880","W2123295839"
"W2968354969","W1498339752"
"W563960229","W2123295839"
"W2054581605","W1498339752"
"W2080723968","W1498339752"
"W2531861677","W2123295839"
"W283905677","W2123295839"
"W2973955370","W1498339752"
"W3175156079","W1989435151"
"W2062521970","W1498339752"
"W2140849736","W1498339752"
"W2724575338","W1498339752"
"W2724575338","W2123295839"
"W2763826922","W1498339752"
"W2796729447","W1498339752"
"W2898890949","W2123295839"
"W2936537405","W1989435151"
"W3044673335","W2884459365"
"W2069713361","W1498339752"
"W2171368478","W1498339752"
"W2507782706","W1498339752"
"W2566738167","W2123295839"
"W2786281105","W2123295839"
"W2885367363","W2123295839"
"W2045177540","W1498339752"
"W2158445675","W2123295839"
"W2315303192","W1498339752"
"W2623448001","W1498339752"
"W2623448001","W2123295839"
"W2910875373","W1498339752"
"W3035246121","W2123295839"
"W3127386062","W2123295839"
"W1607658809","W1498339752"
"W2051247112","W1498339752"
"W2585554880","W1498339752"
"W2763231828","W1989435151"
"W1979220654","W1498339752"
"W2061310565","W1498339752"
"W2123519127","W1498339752"
"W2135650778","W1989435151"
"W2296271620","W1498339752"
"W2597501870","W1498339752"
"W2901231044","W2123295839"
"W3164552243","W1498339752"
"W2138877705","W1498339752"
"W2494127703","W1498339752"
"W2999313062","W1498339752"
"W3024322259","W2123295839"
"W3040480357","W2123295839"
"W3045168039","W1498339752"
"W3092420564","W1498339752"
"W3092420564","W2884459365"
"W3111200167","W1498339752"
"W1971131757","W2123295839"
"W2019016074","W1498339752"
"W2096405724","W1498339752"
"W2096407610","W1498339752"
"W2126871687","W1498339752"
"W2269998574","W2123295839"
"W2548532126","W1498339752"
"W2598992623","W1989435151"
"W2976504774","W1989435151"
"W4206311478","W2123295839"
"W4288049440","W1498339752"
"W1664967588","W1498339752"
"W2055888685","W1498339752"
"W2489553748","W2123295839"
"W2511284474","W2123295839"
"W2594891619","W1498339752"
"W3097667381","W2123295839"
"W3198351707","W1989435151"
"W368509406","W1498339752"
"W4221041281","W2123295839"
"W1994848724","W1498339752"
"W2005104722","W1498339752"
"W2112951660","W1498339752"
"W2201122657","W2123295839"
"W2410409451","W1989435151"
"W2753972009","W1498339752"
"W2775407339","W1498339752"
"W2799590156","W2123295839"
"W3035188605","W1498339752"
"W3183835802","W2123295839"
"W2793158593","W1498339752"
"W2905436995","W1498339752"
"W2969060941","W1989435151"
"W4225247674","W2919820997"
"W1948532353","W1498339752"
"W2000756319","W1498339752"
"W2139810745","W2123295839"
"W2166215528","W1498339752"
"W2507058464","W1498339752"
"W2917203424","W2123295839"
"W2955899193","W2884459365"
"W3040397861","W1498339752"
"W3128641003","W1498339752"
"W3200178769","W2884459365"
"W4229014238","W2123295839"
"W4308204545","W1498339752"
"W4318933940","W2123295839"
"W2061310868","W2123295839"
"W2085375281","W2123295839"
"W2612535116","W2123295839"
"W2936404418","W1498339752"
"W3005873740","W2123295839"
"W3045482119","W2884459365"
"W3122462512","W2123295839"
"W4232069916","W2123295839"
"W2005033155","W1498339752"
"W2331784301","W1498339752"
"W2519541843","W2123295839"
"W2791139373","W1498339752"
"W293808561","W1498339752"
"W293808561","W2123295839"
"W3131319792","W2123295839"
"W4211201368","W1498339752"
"W4243075853","W2123295839"
"W4388931525","W2123295839"
"W1986143665","W1498339752"
"W2098856577","W2123295839"
"W2288408631","W1498339752"
"W2551956814","W1498339752"
"W2775548583","W2123295839"
"W3087849658","W1498339752"
"W2502507769","W1498339752"
"W2555610828","W1498339752"
"W2616266978","W2123295839"
"W2811368563","W1498339752"
"W2897031792","W1498339752"
"W2998774785","W2123295839"
"W4283587798","W2123295839"
"W4319602121","W1989435151"
"W1991141931","W1498339752"
"W2483806732","W2123295839"
"W2512907857","W2123295839"
"W2734908581","W1498339752"
"W2734908581","W2123295839"
"W2793618161","W1498339752"
"W3206398081","W1498339752"
"W4206308487","W2884459365"
"W4293425607","W1498339752"
"W4293425607","W2123295839"
"W4319445132","W2123295839"
"W4377987228","W2884459365"
"W958395998","W2123295839"
"W2155979339","W2123295839"
"W2902168726","W1989435151"
"W3103834255","W1498339752"
"W4390033450","W2123295839"
"W4399362099","W2919820997"
"W1562027706","W2123295839"
"W1976564956","W2123295839"
"W2345039462","W1498339752"
"W2735056735","W1498339752"
"W2887493560","W1989435151"
"W2942623628","W1498339752"
"W3172574744","W2123295839"
"W4205182913","W2123295839"
"W4210330631","W1498339752"
"W4229365738","W2123295839"
"W4287837545","W2884459365"
"W4386588740","W2123295839"
"W4391040834","W2919820997"
"W4399130420","W2123295839"
"W2110896220","W1498339752"
"W2281248090","W1498339752"
"W2598537783","W1498339752"
"W3043192790","W2123295839"
"W4282002950","W2919820997"
"W4283361618","W2123295839"
"W4381849421","W1989435151"
"W2992615456","W2123295839"
"W3206597029","W2919820997"
"W4300091413","W1498339752"
"W4300789871","W1498339752"
"W4379746431","W1498339752"
"W4389732386","W1498339752"
"W2589429693","W2123295839"
"W2990804161","W1498339752"
"W4223410862","W2884459365"
"W4292509790","W1989435151"
"W4360976721","W2884459365"
"W4380849035","W1498339752"
"W4402378945","W2919820997"
"W2520676685","W1498339752"
"W2987115534","W2123295839"
"W3207935420","W2884459365"
"W4309185907","W2123295839"
"W4311903199","W1498339752"
"W4322769953","W2919820997"
"W4366769878","W2919820997"
"W4387647305","W1498339752"
"W4389189056","W2123295839"
"W4403542281","W2919820997"
"W1975878195","W2123295839"
"W2540954451","W1498339752"
"W2611275150","W2123295839"
"W2953415991","W2123295839"
"W3095149138","W2123295839"
"W4327544603","W2884459365"
"W4390964080","W1989435151"
"W2412234778","W1498339752"
"W3086004393","W1498339752"
"W3096862931","W2919820997"
"W4297633676","W1498339752"
"W4301585482","W1989435151"
"W4386099584","W2919820997"
"W4386292648","W2919820997"
