"database","scopus_id","openalex_id","title","journal","publication_year","doi","citations","abstract","authors","query_category"
"Scopus","SCOPUS_ID:105009433023",NA,"Racism in South African Schools: A Media Case Study","Journal of Communication and Media Studies",2025,"10.18848/2470-9247/CGP/v10i02/23-45",0,"","de Wet C.","party_linkages"
"Scopus","SCOPUS_ID:105008008232",NA,"“BIG MAN” OF EAST AFRICA: NATIONAL ISSUE IN KENYA","World Economy and International Relations",2025,"10.20542/0131-2227-2025-69-6-127-136",0,"","Turinskaya K.M.","party_linkages"
"Scopus","SCOPUS_ID:105018779512",NA,"Son of Struggling Africa: On the Centenary of Patrice Lumumba’s Birth (July 2, 1925 — January 17, 1961)","Vestnik Rudn International Relations",2025,"10.22363/2313-0660-2025-25-3-339-354",1,"","Ponomarenko L.V.","party_linkages"
"Scopus","SCOPUS_ID:105028172819",NA,"Balancing Individual Political Rights and Institutional Integrity in an Islamic Constitutional Perspective on Party Switching in Indonesia","El Mashlahah",2025,"10.23971/el-mashlahah.v15i2.9995",5,"","Sugirman A.","party_linkages"
"Scopus","SCOPUS_ID:105024207292",NA,"RELATIONS BETWEEN THE PEOPLE'S REPUBLIC OF CHINA AND GUINEA-BISSAU BETWEEN DIPLOMACY, ECONOMY AND SECURITY","Janus Net",2025,"10.26619/1647-7251.16.2.21",0,"","Gnerre O.M.","party_linkages"
"Scopus","SCOPUS_ID:85218790200",NA,"Sentiment analysis using unsupervised learning for local government elections in South Africa","Ejournal of Edemocracy and Open Government",2025,"10.29379/jedem.v17i1.945",2,"","Matloga P.","party_linkages"
"Scopus","SCOPUS_ID:105013886251",NA,"“We See What Men Don’t See”: Reflections of Women Cabinet Ministers from The Gambia, Liberia, and Sierra Leone1","Africa Today",2025,"10.2979/at.00035",1,"","Bauer G.","party_linkages"
"Scopus","SCOPUS_ID:105042664436",NA,"FACTORS OF DESTABILIZATION IN ASIA AND AFRICA","Vostok Oriens",2026,"10.31696/S086919080038306-3",0,"","Korotayev А.V.","party_linkages"
"Scopus","SCOPUS_ID:105023159440",NA,"Political Brand Equity of South African Political Parties on X during the 2021 Municipal Elections: A Political Discourse Analysis","African Renaissance",2025,"10.31920/2516-5305/2025/22n4a1",0,"","Thatelo M.T.","party_linkages"
"Scopus","SCOPUS_ID:105023151505",NA,"Investigating the Dynamics of Election-Related Violence in the 2016 South African Local Government Polls","African Renaissance",2025,"10.31920/2516-5305/2025/22n4a2",0,"","Tumba T.D.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105023467169",NA,"The Challenges of Political Party Funding in South Africa","African Renaissance",2025,"10.31920/2516-5305/2025/22n4a3",0,"","Mampane P.M.","party_linkages"
"Scopus","SCOPUS_ID:105023150087",NA,"The Igbo Political Ideology: Party Politics and Social Institutions of the Old Biafra Society","African Renaissance",2025,"10.31920/2516-5305/2025/22n4a9",0,"","Uba-Uzoagwa O.P.","party_linkages"
"Scopus","SCOPUS_ID:105016336610",NA,"Inside the Student Representative Council (SRC) Elections Campaigns at (a Historically Black South African University): 2015 to 2020","African Renaissance",2025,"10.31920/2516-5305/2025/sin1a19",0,"","Vuma S.L.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105016407483",NA,"Political Implications of Digitalised Electoral Systems in Africa","African Renaissance",2025,"10.31920/2516-5305/2025/sin1a3",0,"","Ndlovu J.","party_linkages"
"Scopus","SCOPUS_ID:105016322587",NA,"The Impact of Political Corruption on Governance in Africa: A Qualitative Analysis","African Renaissance",2025,"10.31920/2516-5305/2025/sin1a9",1,"","Sylvester M.M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105034433447",NA,"Policy transfer, the presource curse and the rise of premature Sovereign Wealth Funds in Africa: The case of Zimbabwe","African Renaissance",2026,"10.31920/2516-5305/2026/23n1a10",0,"","Matambo M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105042618326",NA,"The Governance Crisis: Social Costs of Corruption and Political Patronage in South Africa","African Renaissance",2026,"10.31920/2516-5305/2026/23n2a8",0,"","Maela K.D.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105036569577",NA,"Modelling the Professionalisation of South African Municipalities: A Systematic, Thematic Literature Review Approach","African Journal of Public Administration and Environmental Studies",2025,"10.31920/2753-3182/2025/v4n2a8",0,"","Langa V.G.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105044372902",NA,"Is South Africa a Syndicate Society? Post-Democracy Reflections","African Journal of Public Administration and Environmental Studies",2026,"10.31920/2753-3182/2026/v5n2a13",0,"","Leopeng K.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105043913788",NA,"Coalition Government on the Governance of South African Municipalities: Opportunities and Challenges","African Journal of Public Administration and Environmental Studies",2026,"10.31920/2753-3182/2026/v5n2a15",0,"","Pillay R.M.","party_linkages"
"Scopus","SCOPUS_ID:105043962745",NA,"An Examination of Factors Influencing Public Policy: A South African Perspective","African Journal of Public Administration and Environmental Studies",2026,"10.31920/2753-3182/2026/v5n2a16",0,"","Mahole E.","party_linkages"
"Scopus","SCOPUS_ID:85215989647",NA,"Challenges of osteosarcoma care in Africa: a scoping review of the burden, management and outcome","Ecancermedicalscience",2025,"10.3332/ecancer.2025.1835",3,"","Olajugba O.J.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105016520048",NA,"Opinion leadership, threats, and enhancers to social cohesion and unity of South Africans and African immigrants in the post-apartheid era","Frontiers in Human Dynamics",2025,"10.3389/fhumd.2025.1593592",0,"","Maseng J.O.","party_linkages"
"Scopus","SCOPUS_ID:105031477374",NA,"The securitization of African immigrants in South Africa","Frontiers in Political Science",2026,"10.3389/fpos.2026.1719953",0,"","Sibanda S.","party_linkages"
"Scopus","SCOPUS_ID:105042733465",NA,"Partner disclosure willingness and HIV advocacy engagement among men in rural Ghana: a Bayesian logistic regression analysis","Frontiers in Public Health",2026,"10.3389/fpubh.2026.1853356",0,"","Lasong J.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105025588539",NA,"Sustaining rural livelihoods through participatory water governance: a review of community-driven water resource management models in East and Central Africa","Frontiers in Water",2025,"10.3389/frwa.2025.1704600",4,"","Lema M.W.","constituency_representation"
"Scopus","SCOPUS_ID:105028710695",NA,"Evolution of Urban Mosque Architecture in Nigeria: A Case Study of Ilorin Central Mosque","Buildings",2026,"10.3390/buildings16020421",0,"","Madandola M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105008884657",NA,"Social Media Campaign Strategies: A Case Study of Political Issue Framing by 2024 Presidential Candidates in Ghana","Journalism and Media",2025,"10.3390/journalmedia6020072",4,"","Tawiah A.","party_linkages"
"Scopus","SCOPUS_ID:105026145372",NA,"Lack Support Systems and Women’s Political Participation in South Africa","Social Sciences",2025,"10.3390/socsci14120693",2,"","Sokani A.","party_linkages"
"Scopus","SCOPUS_ID:85080934696",NA,"Museifying the slave trade and slavery in Zanzibar: Truth, untruth and uncertainty in the slave market","Ethnologie Francaise",2020,"10.3917/ethn.201.0109",1,"","Fouéré M.A.","constituency_representation"
"Scopus","SCOPUS_ID:85135328416",NA,"Reporting on the degradation of aquatic environments. The role of knowledge in the implementation of policies for the protection of water resources in sub- Saharan Africa","Geocarrefour",2022,"10.4000/geocarrefour.19353",2,"","Mitroi V.","constituency_representation"
"Scopus","SCOPUS_ID:85217822070",NA,"The impact of corporate environmental performance on consumer purchasing patronage: Evidence From South Africa","Diversity AI and Sustainability for Financial Growth",2025,"10.4018/979-8-3693-6011-8.ch014",0,"","Siwela W.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105015191742",NA,"A dialogic reading of Luke 8:1–3","Hts Teologiese Studies Theological Studies",2025,"10.4102/hts.v81i1.10641",0,"","Hombana M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105018482180",NA,"Adapting prophetic sociopolitical witness to coalition governments in South Africa","Hts Teologiese Studies Theological Studies",2025,"10.4102/hts.v81i1.10721",0,"","Tucker A.R.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85164245656",NA,"Point-of-care ultrasound: The new district focus","African Journal of Primary Health Care and Family Medicine",2023,"10.4102/PHCFM.V15I1.3576",2,"","Fourie L.","constituency_representation"
"Scopus","SCOPUS_ID:105043389926",NA,"Female gamblers within Ghanaian communities: Exploring attitudes to sports betting on the university campus","Journal of Gambling Issues",2026,"10.4309/FRUE6515",1,"","Konadu V.S.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85187345074",NA,"DISEMPOWERING DEMOCRACY: Local representation in community and carbon forestry in Africa","Routledge Handbook of Community Forestry",2022,"10.4324/9780367488710-31",0,"","Ece M.","constituency_representation"
"Scopus","SCOPUS_ID:105034071019",NA,"AFRICAN POLITICS: An Introduction","African Politics an Introduction",2025,"10.4324/9781003221562",0,"","Falola T.","party_linkages"
"Scopus","SCOPUS_ID:105008618669",NA,"SOCIAL ACCOUNTABILITY MECHANISMS IN RESPONSE TO STATE CAPTURE IN SOUTH AFRICA","Routledge Handbook of Anti Corruption Research and Practice",2025,"10.4324/9781003303275-30",0,"","Schoeman A.","party_linkages"
"Scopus","SCOPUS_ID:105005039963",NA,"CONSTRUCTING RACIAL IDENTITY AND POWER IN MUSIC, CEREMONIAL PRACTICES, AND INDIGENOUS INSTRUMENTS IN EARLY MODERN AFRICAN KINGDOMS","Routledge Companion to Race in Early Modern Artistic Material and Visual Production",2025,"10.4324/9781003308645-16",1,"","Cole J.","constituency_representation"
"Scopus","SCOPUS_ID:105004964968",NA,"Non-developmental Neopatrimonialism in Guinea-Bissau and Political Instability","Political Instability in Guinea Bissau",2025,"10.4324/9781003467243-5",0,"","de Sousa R.R.P.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105001760407",NA,"Africa-EU Migration at a Cross Road?","Africa the Eu and the Samoa Agreement Exploring African Agency Amid the New Scramble",2025,"10.4324/9781003503330-5",1,"","Akinola A.O.","party_linkages"
"Scopus","SCOPUS_ID:105005661380",NA,"Ujanja, Fraud, and Kenyan Moral Commons","Reconceiving Identities in Political Economy Decolonial Reconstellations Volume Three",2025,"10.4324/9781003517535-7",1,"","Musila G.A.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105022535237",NA,"Democratic Performance in Africa and How Parliamentary Democracies Are Trailblazing the Rest in the Post-Pandemic Era","Democratic Recession Autocratic Resurgence and the Future of Governance in Africa",2025,"10.4324/9781003559764-10",0,"","Onyango G.","party_linkages"
"Scopus","SCOPUS_ID:105024168215",NA,"SECONDARY CITIES AT THE INTERFACE OF DISASTER RISK REDUCTION: Assessing Institutional Readiness in Undersieged Towns","Routledge Handbook of Resilient Urban Planning for Small and Medium Sized Cities",2025,"10.4324/9781003588801-17",0,"","Annobil D.K.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105023734103",NA,"Youth Employment Programmes in Africa","Youth Employment Programmes in Africa",2025,"10.4324/9781003589501",1,"","Mabugu R.E.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105021711479",NA,"Overview of Politics, Development, and Governance in South Africa","Development in Post Apartheid South Africa Political and Governance Considerations",2025,"10.4324/9781003629689-1",0,"","Mabizela H.","party_linkages"
"Scopus","SCOPUS_ID:105035936359",NA,"Elite loyalty, legislative productivity, or constituency service: Where lies the reward in intra-party competition in Ghana?","Democracy at the Crossroads Challenges for Governance and Representation Essays in Honour of Thomas Saalfeld",2026,"10.4324/9781003660248-7",0,"","Acheampong M.","constituency_representation; party_linkages; responsiveness_patronage"
"Scopus","SCOPUS_ID:105032079269",NA,"THE JOHANNESBURG BIENNALES: Chasing a fleeing shadow","Routledge Companion to Art Biennials",2026,"10.4324/9781003679950-21",0,"","Brinkmann T.M.","constituency_representation"
"Scopus","SCOPUS_ID:105044775943",NA,"Governance Context and Reorientation of Government","Public Administration in Africa Main Issues and Selected Country Studies",2026,"10.4324/9781003743293-2",10,"","Adamolekun L.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105037785206",NA,"Economy of affection","Elgar Encyclopedia of African Politics",2026,"10.4337/9781035309306.00027",0,"","Hyden G.","party_linkages"
"Scopus","SCOPUS_ID:105037779745",NA,"Elections","Elgar Encyclopedia of African Politics",2026,"10.4337/9781035309306.00030",0,"","Morse Y.L.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105037781598",NA,"Movement politics","Elgar Encyclopedia of African Politics",2026,"10.4337/9781035309306.00055",0,"","Rubongoya J.B.","party_linkages"
"Scopus","SCOPUS_ID:105037786281",NA,"Party financing","Elgar Encyclopedia of African Politics",2026,"10.4337/9781035309306.00060",0,"","Dendere C.","party_linkages; responsiveness_patronage"
"Scopus","SCOPUS_ID:105037782566",NA,"Party systems","Elgar Encyclopedia of African Politics",2026,"10.4337/9781035309306.00061",0,"","Ndlovu X.A.","party_linkages"
"Scopus","SCOPUS_ID:105037777165",NA,"Political accountability","Elgar Encyclopedia of African Politics",2026,"10.4337/9781035309306.00064",0,"","Alence R.","party_linkages; responsiveness_patronage"
"Scopus","SCOPUS_ID:105037782287",NA,"Political parties","Elgar Encyclopedia of African Politics",2026,"10.4337/9781035309306.00065",0,"","Krönke M.","party_linkages; responsiveness_patronage"
"Scopus","SCOPUS_ID:105037787317",NA,"Electoral systems, party systems and political representation in Africa","Elgar Encyclopedia of Political Representation",2026,"10.4337/9781035324828.00094",0,"","Sanches E.R.","party_linkages"
"Scopus","SCOPUS_ID:105037782019",NA,"Gender quotas","Elgar Encyclopedia of Political Representation",2026,"10.4337/9781035324828.00104",0,"","Pansardi P.","party_linkages"
"Scopus","SCOPUS_ID:105015752331",NA,"Politicisation and patronage in the South African public service: from apartheid to democracy","Handbook of Politicization and Political Patronage",2025,"10.4337/9781035326242.00017",0,"","Cameron R.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105015622697",NA,"Political patronage in the Democratic Republic of the Congo","Handbook of Politicization and Political Patronage",2025,"10.4337/9781035326242.00040",1,"","Muhiya Tshombe J.M.L.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105015841611",NA,"Development and determinants of patronage system and rentier elites in the Middle East and North Africa","Handbook of Politicization and Political Patronage",2025,"10.4337/9781035326242.00042",0,"","Ali H.E.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105005245964",NA,"Progressive politics in the Middle East and North Africa: analysing the notions of modernity and backwardness through context","Handbook of Progressive Politics",2025,"10.4337/9781800880641.00013",0,"","Sigillò E.","party_linkages"
"Scopus","SCOPUS_ID:105018868727",NA,"Consumer Perceptions of Influencer Marketing: Business Insights and Leadership from the Retail Sector","Business Ethics and Leadership",2025,"10.61093/bel.9(3).96-108.2025",2,"","Msosa S.K.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105031833165",NA,"Local Government Autonomy in South Africa: Governance, Service Delivery, and Development Agendas","Oida International Journal of Sustainable Development",2026,"10.64211/oidaijsd190105",0,"","Mamokhere J.","constituency_representation"
"Scopus","SCOPUS_ID:105043293843",NA,"Rethinking Comparative Media System Theory From Ghana: Toward a Patronage-Based Hybrid Model","International Journal of Communication",2026,"10.65476/x299pq90",0,"","Asiedu E.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105037394864",NA,"“ANC and DA clash!” Conflicting political constellations in South Africa's Daily Sun and implications for public sphere discussions","Mediekultur",2026,"10.7146/mk.v42i80.142430",0,"","Siebörger I.","party_linkages"
"Scopus","SCOPUS_ID:105026425316",NA,"Politics woven as missionary craft: the carpets of the White Fathers and Sisters from the 1920s","Humanitarian Handicraft History Materiality and Trade C 18401980",2025,"10.7765/9781526188045_08",0,"","Taithe B.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105042031682",NA,"Professionalisation of local administration and the right to political participation in the recent south african constitutional jurisprudence","Federalismi It",2026,NA,0,"","Rigobello G.","party_linkages"
"Scopus","SCOPUS_ID:85093522373",NA,"Intergenerational transmission of poverty: The role of agency in mitigating the impact for child headed households - A case of zola, Soweto (South Africa)","African Journal of Social Work",2020,NA,2,"","Agere L.M.","constituency_representation"
